,Pays,2015,2020,2025,Rang population,Pays ou territoire,Population au 1er juillet 2023,Population projetée au 1er juillet 2026
0,Luxembourg,279,255,239,165,Luxembourg,665 098,687 448
1,États-Unis,147,135,138,3,États-Unis,343 477 335,349 035 494
2,Pays-Bas,132,131,133,70,Pays-Bas,18 092 524,18 448 775
3,Allemagne,126,124,115,19,Allemagne,84 548 231,83 644 258
4,Belgique,119,118,114,81,Belgique,11 712 893,11 774 642
5,Royaume-Uni,111,102,99,21,Royaume-Uni,68 682 962,69 931 528
6,France,106,103,98,23,France,66 438 822,66 746 401
7,Italie,97,93,96,25,Italie,59 499 453,58 926 166
8,Espagne,91,82,92,32,Espagne,47 911 579,47 850 793
9,Japon,108,91,85,12,Japon,124 370 947,122 427 731
10,Pologne,70,78,81,39,Pologne,38 762 844,37 843 188
11,Turquie,65,59,67,18,Turquie,87 270 501,87 926 082
